4|Home Square 4 - Original|Home_Square_4_EC01_382D|Public|10|Home_Square_4_EC01_382D/large_T061.png|Today
19|Bowling Alley (SCEJ)|Game SpaceJP|Public|8|Game_Space/large_ja-JP_T055.png|Today
11|The Hub|Home SquareUS|Public|7|Home_Square/large_en-us_T379.png|Today
628|MuiMui Ship (SCEA)|SCEJ_LocoRoco_Pub02_A4CF_8E3F|Public|6|SCEJ_LocoRoco_Pub02_A4CF_8E3F/large_T032.png|Today
911|Diesel Island|Diesel_Apartment_9953_2D5B|Public|5|Diesel_Apartment_9953_2D5B/large_T035.png|Today
295|Peakvox Labs|J_Peakvox_Labs_7_EECC_66B8|Public|4|J_Peakvox_Labs_7_EECC_66B8/large_T033.png|Today
17|Bowling Alley (SCEA)|SCEA_Game_Space_D9CA_5D52|Public|3|SCEA_Game_Space_D9CA_5D52/large_T032.png|Today
466|PlayStation®Network Sphere|PSN_Dead_Nation_D598_E497|Public|2|PSN_Dead_Nation_D598_E497/large_T039.png|Today
57|Rainy Day Apartment|ApartmentEvening|Private|1|ApartmentEvening/large_T037.png|Today
90|Bramblenook Farm|Bramble_Nook_Apt_BB4B_1E68|Private|1|Bramble_Nook_Apt_BB4B_1E68/large_T036.png|Today
