17|Bowling Alley (SCEA)|SCEA_Game_Space_D9CA_5D52|Public|1|SCEA_Game_Space_D9CA_5D52/large_T032.png|Today
876|Acorn Meadows Park|Acorn_Park_NORMAL|Public|2|VeeMee_Park_58ED_D151/large_T046.png|Today
900|Central Plaza Closed Beta|SCEA_Plaza_CB|Public|3|SCE_HomeSquare/US_HomePlaza_large.png|Today
882|2012 SCEA E3® Booth|SCEA_E3_2012_8015_53E0|Public|4|SCEA_E3_2012_8015_53E0/large_T043.png|Today
78|Aurora 1.9|Aurora_Non_SCEJ_568D_1E32|Public|5|Aurora_Non_SCEJ_568D_1E32/large_T059.png|Today
515|The Midway|SCEA_MMI_Midway_D11D_5547|Public|6|SCEA_MMI_Midway_D11D_5547/large_T057.png|Today
663|Ward of Despair (SCEA)|Siren2_A_DB35_3E5F|Public|7|Siren2_A_DB35_3E5F/large.png|Today
680|Sodium Hub|Sodium_Demo_6C9B_2C7B|Public|8|Sodium_Demo_6C9B_2C7B/large_T056.png|Today
274|Home Tycoon|Home_Town_9DE9_6A5B|Public|9|Home_Town_9DE9_6A5B/large_T040.png|Today
810|Xi: Continuum|Xi2_Axiom_EBBE_26D4|Public|10|Xi2_Axiom_EBBE_26D4/large_T042.png|Today
